"year_month","Nation","CartPriceInCP"
"2019-09","Dwarfholds",1529958
"2019-10","Dwarfholds",1405552
"2019-11","Dwarfholds",1512717
"2019-12","Dwarfholds",1255269
"2020-01","Dwarfholds",1605243
"2020-02","Dwarfholds",1492419
"2020-03","Dwarfholds",1342344
"2020-04","Dwarfholds",1358874
"2020-05","Dwarfholds",1343030
"2020-06","Dwarfholds",1621485
"2020-07","Dwarfholds",1704881
"2020-08","Dwarfholds",1358642
"2020-09","Dwarfholds",1609545
"2020-10","Dwarfholds",1706072
"2020-11","Dwarfholds",1331049
"2020-12","Dwarfholds",1328362
"2021-01","Dwarfholds",1343454
"2021-02","Dwarfholds",921267
"2021-03","Dwarfholds",1275297
"2021-04","Dwarfholds",1334567
"2021-05","Dwarfholds",1163200
"2021-06","Dwarfholds",1160290
"2021-07","Dwarfholds",1401076
"2021-08","Dwarfholds",1189573
"2021-09","Dwarfholds",1354988
"2021-10","Dwarfholds",1564174
"2021-11","Dwarfholds",1396953
"2021-12","Dwarfholds",1276133
"2022-01","Dwarfholds",1503523
"2022-02","Dwarfholds",1488022
"2022-03","Dwarfholds",1870876
"2022-04","Dwarfholds",1698696
"2022-05","Dwarfholds",1649032
"2022-06","Dwarfholds",1641572
"2022-07","Dwarfholds",1641938
"2022-08","Dwarfholds",1626620
"2022-09","Dwarfholds",1512552
"2022-10","Dwarfholds",1375236
"2022-11","Dwarfholds",1381108
"2022-12","Dwarfholds",1492467
"2023-01","Dwarfholds",1525313
"2023-02","Dwarfholds",1634592
"2023-03","Dwarfholds",1775782
"2023-04","Dwarfholds",1630392
"2023-05","Dwarfholds",1710895
"2023-06","Dwarfholds",1413829
"2023-07","Dwarfholds",1756382
"2023-08","Dwarfholds",1548665
"2023-09","Dwarfholds",1533593
"2023-10","Dwarfholds",1588940
"2023-11","Dwarfholds",1587605
"2023-12","Dwarfholds",1468973
"2019-01","Estagund",222126
"2019-02","Estagund",160835
"2019-03","Estagund",202259
"2019-04","Estagund",200903
"2019-05","Estagund",287871
"2019-06","Estagund",313726
"2019-07","Estagund",257692
"2019-08","Estagund",257163
"2019-09","Estagund",305790
"2019-10","Estagund",187335
"2019-11","Estagund",261554
"2019-12","Estagund",233207
"2020-01","Estagund",331816
"2020-02","Estagund",236134
"2020-03","Estagund",596429
"2020-04","Estagund",382708
"2020-05","Estagund",535888
"2020-06","Estagund",273233
"2020-07","Estagund",544029
"2020-08","Estagund",578692
"2020-09","Estagund",239426
"2020-10","Estagund",403792
"2020-11","Estagund",615928
"2020-12","Estagund",446029
"2021-01","Estagund",438309
"2021-02","Estagund",461730
"2021-03","Estagund",487752
"2021-04","Estagund",527377
"2021-05","Estagund",436749
"2021-06","Estagund",376900
"2021-07","Estagund",298326
"2021-08","Estagund",429331
"2021-09","Estagund",292371
"2021-10","Estagund",300478
"2021-11","Estagund",195787
"2021-12","Estagund",211171
"2022-01","Estagund",232629
"2022-02","Estagund",216703
"2022-03","Estagund",135669
"2022-04","Estagund",212429
"2022-05","Estagund",173036
"2022-06","Estagund",157763
"2022-07","Estagund",244934
"2022-08","Estagund",323609
"2022-09","Estagund",299439
"2022-10","Estagund",260876
"2022-11","Estagund",198561
"2022-12","Estagund",118277
"2023-01","Estagund",132634
"2023-02","Estagund",167781
"2023-03","Estagund",217324
"2023-04","Estagund",291842
"2023-05","Estagund",179641
"2023-06","Estagund",242158
"2023-07","Estagund",278205
"2023-08","Estagund",306951
"2023-09","Estagund",230904
"2023-10","Estagund",182383
"2023-11","Estagund",147584
"2023-12","Estagund",358940
"2019-01","Gracklstugh",119800
"2019-02","Gracklstugh",132654
"2019-03","Gracklstugh",184491
"2019-04","Gracklstugh",210871
"2019-05","Gracklstugh",187778
"2019-06","Gracklstugh",174541
"2019-07","Gracklstugh",81555
"2019-08","Gracklstugh",302134
"2019-09","Gracklstugh",195820
"2019-10","Gracklstugh",232856
"2019-11","Gracklstugh",156009
"2019-12","Gracklstugh",211391
"2020-01","Gracklstugh",180191
"2020-02","Gracklstugh",141822
"2020-03","Gracklstugh",75973
"2020-04","Gracklstugh",201533
"2020-05","Gracklstugh",245537
"2020-06","Gracklstugh",174757
"2020-07","Gracklstugh",148522
"2020-08","Gracklstugh",168453
"2020-09","Gracklstugh",192379
"2020-10","Gracklstugh",104355
"2020-11","Gracklstugh",200419
"2020-12","Gracklstugh",262299
"2021-01","Gracklstugh",154760
"2021-02","Gracklstugh",146270
"2021-03","Gracklstugh",83149
"2021-04","Gracklstugh",244857
"2021-05","Gracklstugh",162383
"2021-06","Gracklstugh",185606
"2021-07","Gracklstugh",127961
"2021-08","Gracklstugh",199312
"2021-09","Gracklstugh",226970
"2021-10","Gracklstugh",221224
"2021-11","Gracklstugh",250679
"2021-12","Gracklstugh",240848
"2022-01","Gracklstugh",202095
"2022-02","Gracklstugh",154917
"2022-03","Gracklstugh",176058
"2022-04","Gracklstugh",145146
"2022-05","Gracklstugh",182281
"2022-06","Gracklstugh",174372
"2022-07","Gracklstugh",222648
"2022-08","Gracklstugh",245714
"2022-09","Gracklstugh",132527
"2022-10","Gracklstugh",131518
"2022-11","Gracklstugh",254863
"2022-12","Gracklstugh",228867
"2023-01","Gracklstugh",204748
"2023-02","Gracklstugh",227339
"2023-03","Gracklstugh",171380
"2023-04","Gracklstugh",185482
"2023-05","Gracklstugh",297870
"2023-06","Gracklstugh",265257
"2023-07","Gracklstugh",195267
"2023-08","Gracklstugh",224674
"2023-09","Gracklstugh",177288
"2023-10","Gracklstugh",150488
"2023-11","Gracklstugh",108002
"2023-12","Gracklstugh",217423
"2019-01","Great Dale",449380
"2019-02","Great Dale",252715
"2019-03","Great Dale",307528
"2019-04","Great Dale",343252
"2019-05","Great Dale",310917
"2019-06","Great Dale",169397
"2019-07","Great Dale",359262
"2019-08","Great Dale",288386
"2019-09","Great Dale",316146
"2019-10","Great Dale",175661
"2019-11","Great Dale",279146
"2019-12","Great Dale",263961
"2020-01","Great Dale",209278
"2020-02","Great Dale",299003
"2020-03","Great Dale",249671
"2020-04","Great Dale",215808
"2020-05","Great Dale",193832
"2020-06","Great Dale",276972
"2020-07","Great Dale",275971
"2020-08","Great Dale",208003
"2020-09","Great Dale",211116
"2020-10","Great Dale",258882
"2020-11","Great Dale",231715
"2020-12","Great Dale",189624
"2021-01","Great Dale",301689
"2021-02","Great Dale",239347
"2021-03","Great Dale",241384
"2021-04","Great Dale",242274
"2021-05","Great Dale",303126
"2021-06","Great Dale",175157
"2021-07","Great Dale",287687
"2021-08","Great Dale",291681
"2021-09","Great Dale",257228
"2021-10","Great Dale",333549
"2021-11","Great Dale",261790
"2021-12","Great Dale",292116
"2022-01","Great Dale",295195
"2022-02","Great Dale",243226
"2022-03","Great Dale",174205
"2022-04","Great Dale",243863
"2022-05","Great Dale",402234
"2022-06","Great Dale",239142
"2022-07","Great Dale",207969
"2022-08","Great Dale",267867
"2022-09","Great Dale",284223
"2022-10","Great Dale",264959
"2022-11","Great Dale",335251
"2022-12","Great Dale",348900
"2023-01","Great Dale",251915
"2023-02","Great Dale",212797
"2023-03","Great Dale",446310
"2023-04","Great Dale",251757
"2023-05","Great Dale",305893
"2023-06","Great Dale",159785
"2023-07","Great Dale",335543
"2023-08","Great Dale",248620
"2023-09","Great Dale",301264
"2023-10","Great Dale",272674
"2023-11","Great Dale",327278
"2023-12","Great Dale",293850
"2019-01","Gundarlund",57551
"2019-02","Gundarlund",132609
"2019-03","Gundarlund",153812
"2019-04","Gundarlund",97380
"2019-05","Gundarlund",177765
"2019-06","Gundarlund",69715
"2019-07","Gundarlund",145341
"2019-08","Gundarlund",226621
"2019-09","Gundarlund",228411
"2019-10","Gundarlund",125121
"2019-11","Gundarlund",232205
"2019-12","Gundarlund",149806
"2020-01","Gundarlund",107283
"2020-02","Gundarlund",107000
"2020-03","Gundarlund",161428
"2020-04","Gundarlund",107562
"2020-05","Gundarlund",179837
"2020-06","Gundarlund",141822
"2020-07","Gundarlund",209564
"2020-08","Gundarlund",106083
"2020-09","Gundarlund",75164
"2020-10","Gundarlund",174176
"2020-11","Gundarlund",165227
"2020-12","Gundarlund",102134
"2021-01","Gundarlund",172687
"2021-02","Gundarlund",159085
"2021-03","Gundarlund",137925
"2021-04","Gundarlund",165806
"2021-05","Gundarlund",105547
"2021-06","Gundarlund",122370
"2021-07","Gundarlund",133761
"2021-08","Gundarlund",107792
"2021-09","Gundarlund",216177
"2021-10","Gundarlund",116226
"2021-11","Gundarlund",129969
"2021-12","Gundarlund",160878
"2022-01","Gundarlund",149730
"2022-02","Gundarlund",131446
"2022-03","Gundarlund",199261
"2022-04","Gundarlund",104160
"2022-05","Gundarlund",129058
"2022-06","Gundarlund",144850
"2022-07","Gundarlund",229555
"2022-08","Gundarlund",160545
"2022-09","Gundarlund",142093
"2022-10","Gundarlund",239322
"2022-11","Gundarlund",163581
"2022-12","Gundarlund",94143
"2023-01","Gundarlund",108340
"2023-02","Gundarlund",83433
"2023-03","Gundarlund",277259
"2023-04","Gundarlund",106705
"2023-05","Gundarlund",165569
"2023-06","Gundarlund",178377
"2023-07","Gundarlund",100471
"2023-08","Gundarlund",181661
"2023-09","Gundarlund",119140
"2023-10","Gundarlund",140477
"2023-11","Gundarlund",160503
"2023-12","Gundarlund",234390
"2019-01","Halruaa",976335
"2019-02","Halruaa",1251991
"2019-03","Halruaa",1314638
"2019-04","Halruaa",1257939
"2019-05","Halruaa",1330079
"2019-06","Halruaa",1457001
"2019-07","Halruaa",1479929
"2019-08","Halruaa",1150360
"2019-09","Halruaa",1328232
"2019-10","Halruaa",1306418
"2019-11","Halruaa",1282645
"2019-12","Halruaa",1162703
"2020-01","Halruaa",1114887
"2020-02","Halruaa",1415610
"2020-03","Halruaa",1408253
"2020-04","Halruaa",1240103
"2020-05","Halruaa",1208990
"2020-06","Halruaa",1308642
"2020-07","Halruaa",1358335
"2020-08","Halruaa",1328689
"2020-09","Halruaa",1228297
"2020-10","Halruaa",1467135
"2020-11","Halruaa",1390619
"2020-12","Halruaa",1088135
"2021-01","Halruaa",1199527
"2021-02","Halruaa",1187838
"2021-03","Halruaa",1140037
"2021-04","Halruaa",1519798
"2021-05","Halruaa",1370828
"2021-06","Halruaa",959128
"2021-07","Halruaa",1303016
"2021-08","Halruaa",1258266
"2021-09","Halruaa",1152298
"2021-10","Halruaa",1315426
"2021-11","Halruaa",1605704
"2021-12","Halruaa",1246692
"2022-01","Halruaa",1389239
"2022-02","Halruaa",1063911
"2022-03","Halruaa",1289609
"2022-04","Halruaa",1298813
"2022-05","Halruaa",1091617
"2022-06","Halruaa",1117576
"2022-07","Halruaa",1265594
"2022-08","Halruaa",1280800
"2022-09","Halruaa",1243429
"2022-10","Halruaa",1422328
"2022-11","Halruaa",1197813
"2022-12","Halruaa",1458978
"2023-01","Halruaa",1248590
"2023-02","Halruaa",1144044
"2023-03","Halruaa",1241501
"2023-04","Halruaa",1207027
"2023-05","Halruaa",1419078
"2023-06","Halruaa",1266857
"2023-07","Halruaa",1179848
"2023-08","Halruaa",1552912
"2023-09","Halruaa",1345949
"2023-10","Halruaa",1168888
"2023-11","Halruaa",1487946
"2023-12","Halruaa",1246048
"2019-01","Icewind Dale",424989
"2019-02","Icewind Dale",292563
"2019-03","Icewind Dale",390962
"2019-04","Icewind Dale",201942
"2019-05","Icewind Dale",278413
"2019-06","Icewind Dale",314525
"2019-07","Icewind Dale",292827
"2019-08","Icewind Dale",319789
"2019-09","Icewind Dale",387110
"2019-10","Icewind Dale",440938
"2019-11","Icewind Dale",359706
"2019-12","Icewind Dale",361114
"2020-01","Icewind Dale",361728
"2020-02","Icewind Dale",342840
"2020-03","Icewind Dale",174047
"2020-04","Icewind Dale",361412
"2020-05","Icewind Dale",264143
"2020-06","Icewind Dale",274096
"2020-07","Icewind Dale",296438
"2020-08","Icewind Dale",253438
"2020-09","Icewind Dale",354362
"2020-10","Icewind Dale",249058
"2020-11","Icewind Dale",414360
"2020-12","Icewind Dale",410542
"2021-01","Icewind Dale",442163
"2021-02","Icewind Dale",269234
"2021-03","Icewind Dale",443133
"2021-04","Icewind Dale",237219
"2021-05","Icewind Dale",292445
"2021-06","Icewind Dale",375928
"2021-07","Icewind Dale",313168
"2021-08","Icewind Dale",303296
"2021-09","Icewind Dale",154050
"2021-10","Icewind Dale",267465
"2021-11","Icewind Dale",289163
"2021-12","Icewind Dale",236998
"2022-01","Icewind Dale",189860
"2022-02","Icewind Dale",234880
"2022-03","Icewind Dale",288919
"2022-04","Icewind Dale",333982
"2022-05","Icewind Dale",316225
"2022-06","Icewind Dale",359973
"2022-07","Icewind Dale",269741
"2022-08","Icewind Dale",246832
"2022-09","Icewind Dale",333902
"2022-10","Icewind Dale",342723
"2022-11","Icewind Dale",267730
"2022-12","Icewind Dale",332560
"2023-01","Icewind Dale",376097
"2023-02","Icewind Dale",335393
"2023-03","Icewind Dale",319246
"2023-04","Icewind Dale",218832
"2023-05","Icewind Dale",325186
"2023-06","Icewind Dale",225399
"2023-07","Icewind Dale",376077
"2023-08","Icewind Dale",449620
"2023-09","Icewind Dale",332516
"2023-10","Icewind Dale",263293
"2023-11","Icewind Dale",307920
"2023-12","Icewind Dale",267531
"2019-01","Impiltur",1169430
"2019-02","Impiltur",1264852
"2019-03","Impiltur",1292404
"2019-04","Impiltur",1144667
"2019-05","Impiltur",1357800
"2019-06","Impiltur",1129019
"2019-07","Impiltur",1532638
"2019-08","Impiltur",1342322
"2019-09","Impiltur",1244387
"2019-10","Impiltur",1101109
"2019-11","Impiltur",1275568
"2019-12","Impiltur",1143185
"2020-01","Impiltur",1022489
"2020-02","Impiltur",1216567
"2020-03","Impiltur",1334250
"2020-04","Impiltur",1448680
"2020-05","Impiltur",1354338
"2020-06","Impiltur",1398451
"2020-07","Impiltur",1622467
"2020-08","Impiltur",1439322
"2020-09","Impiltur",1455746
"2020-10","Impiltur",1285178
"2020-11","Impiltur",1629637
"2020-12","Impiltur",1566726
"2021-01","Impiltur",1408531
"2021-02","Impiltur",1445558
"2021-03","Impiltur",1336909
"2021-04","Impiltur",1302580
"2021-05","Impiltur",1705975
"2021-06","Impiltur",1392580
"2021-07","Impiltur",1282100
"2021-08","Impiltur",1222838
"2021-09","Impiltur",1433515
"2021-10","Impiltur",1681022
"2021-11","Impiltur",1452629
"2021-12","Impiltur",1226745
"2022-01","Impiltur",1500588
"2022-02","Impiltur",1408494
"2022-03","Impiltur",1401598
"2022-04","Impiltur",1494976
"2022-05","Impiltur",1539981
"2022-06","Impiltur",1191793
"2022-07","Impiltur",1538243
"2022-08","Impiltur",1360911
"2022-09","Impiltur",1230199
"2022-10","Impiltur",1308160
"2022-11","Impiltur",1186456
"2022-12","Impiltur",1303451
"2023-01","Impiltur",1094655
"2023-02","Impiltur",1253161
"2023-03","Impiltur",1218691
"2023-04","Impiltur",1277787
"2023-05","Impiltur",1281383
"2023-06","Impiltur",1376603
"2023-07","Impiltur",1327601
"2023-08","Impiltur",1288466
"2023-09","Impiltur",1323621
"2023-10","Impiltur",1455059
"2023-11","Impiltur",1088933
"2023-12","Impiltur",1173870
"2019-01","Kara-Tur",513160
"2019-02","Kara-Tur",350737
"2019-03","Kara-Tur",391859
"2019-04","Kara-Tur",433664
"2019-05","Kara-Tur",399600
"2019-06","Kara-Tur",492256
"2019-07","Kara-Tur",497115
"2019-08","Kara-Tur",514388
"2019-09","Kara-Tur",368386
"2019-10","Kara-Tur",444129
"2019-11","Kara-Tur",523594
"2019-12","Kara-Tur",495681
"2020-01","Kara-Tur",513982
"2020-02","Kara-Tur",390054
"2020-03","Kara-Tur",456806
"2020-04","Kara-Tur",517250
"2020-05","Kara-Tur",690998
"2020-06","Kara-Tur",412903
"2020-07","Kara-Tur",624361
"2020-08","Kara-Tur",382541
"2020-09","Kara-Tur",519526
"2020-10","Kara-Tur",458702
"2020-11","Kara-Tur",552297
"2020-12","Kara-Tur",537825
"2021-01","Kara-Tur",427932
"2021-02","Kara-Tur",501673
"2021-03","Kara-Tur",496330
"2021-04","Kara-Tur",339122
"2021-05","Kara-Tur",360973
"2021-06","Kara-Tur",392193
"2021-07","Kara-Tur",344512
"2021-08","Kara-Tur",468469
"2021-09","Kara-Tur",406567
"2021-10","Kara-Tur",421451
"2021-11","Kara-Tur",473485
"2021-12","Kara-Tur",486512
"2022-01","Kara-Tur",478275
"2022-02","Kara-Tur",383521
"2022-03","Kara-Tur",379550
"2022-04","Kara-Tur",326579
"2022-05","Kara-Tur",400622
"2022-06","Kara-Tur",571129
"2022-07","Kara-Tur",456553
"2022-08","Kara-Tur",412266
"2022-09","Kara-Tur",421994
"2022-10","Kara-Tur",481540
"2022-11","Kara-Tur",582243
"2022-12","Kara-Tur",395802
"2023-01","Kara-Tur",506393
"2023-02","Kara-Tur",405731
"2023-03","Kara-Tur",526309
"2023-04","Kara-Tur",411964
"2023-05","Kara-Tur",553811
"2023-06","Kara-Tur",540232
"2023-07","Kara-Tur",391001
"2023-08","Kara-Tur",473035
"2023-09","Kara-Tur",426017
"2023-10","Kara-Tur",489489
"2023-11","Kara-Tur",330173
"2023-12","Kara-Tur",374835
"2019-01","Korinn Archipelego",924729
"2019-02","Korinn Archipelego",637586
"2019-03","Korinn Archipelego",680647
"2019-04","Korinn Archipelego",954778
"2019-05","Korinn Archipelego",779253
"2019-06","Korinn Archipelego",900498
"2019-07","Korinn Archipelego",992431
"2019-08","Korinn Archipelego",793219
"2019-09","Korinn Archipelego",1020724
"2019-10","Korinn Archipelego",913202
"2019-11","Korinn Archipelego",818319
"2019-12","Korinn Archipelego",886557
"2020-01","Korinn Archipelego",742449
"2020-02","Korinn Archipelego",752379
"2020-03","Korinn Archipelego",821865
"2020-04","Korinn Archipelego",731917
"2020-05","Korinn Archipelego",917736
"2020-06","Korinn Archipelego",598627
"2020-07","Korinn Archipelego",843556
"2020-08","Korinn Archipelego",844116
"2020-09","Korinn Archipelego",876783
"2020-10","Korinn Archipelego",1070407
"2020-11","Korinn Archipelego",951106
"2020-12","Korinn Archipelego",854385
"2021-01","Korinn Archipelego",835543
"2021-02","Korinn Archipelego",775307
"2021-03","Korinn Archipelego",798276
"2021-04","Korinn Archipelego",737825
"2021-05","Korinn Archipelego",847115
"2021-06","Korinn Archipelego",722587
"2021-07","Korinn Archipelego",808527
"2021-08","Korinn Archipelego",859769
"2021-09","Korinn Archipelego",844910
"2021-10","Korinn Archipelego",1043740
"2021-11","Korinn Archipelego",772731
"2021-12","Korinn Archipelego",909345
"2022-01","Korinn Archipelego",807701
"2022-02","Korinn Archipelego",771293
"2022-03","Korinn Archipelego",905980
"2022-04","Korinn Archipelego",769741
"2022-05","Korinn Archipelego",893847
"2022-06","Korinn Archipelego",976000
"2022-07","Korinn Archipelego",887464
"2022-08","Korinn Archipelego",938263
"2022-09","Korinn Archipelego",762920
"2022-10","Korinn Archipelego",834659
"2022-11","Korinn Archipelego",777984
"2022-12","Korinn Archipelego",867136
"2023-01","Korinn Archipelego",803165
"2023-02","Korinn Archipelego",734645
"2023-03","Korinn Archipelego",818039
"2023-04","Korinn Archipelego",763851
"2023-05","Korinn Archipelego",843643
"2023-06","Korinn Archipelego",865743
"2023-07","Korinn Archipelego",982341
"2023-08","Korinn Archipelego",716091
"2023-09","Korinn Archipelego",620047
"2023-10","Korinn Archipelego",955531
"2023-11","Korinn Archipelego",1002255
"2023-12","Korinn Archipelego",1032848
"2019-01","Lantan",305115
"2019-02","Lantan",344018
"2019-03","Lantan",336360
"2019-04","Lantan",235148
"2019-05","Lantan",317500
"2019-06","Lantan",416404
"2019-07","Lantan",417647
"2019-08","Lantan",376934
"2019-09","Lantan",360045
"2019-10","Lantan",461424
"2019-11","Lantan",350017
"2019-12","Lantan",351267
"2020-01","Lantan",401558
"2020-02","Lantan",278475
"2020-03","Lantan",322277
"2020-04","Lantan",391221
"2020-05","Lantan",293173
"2020-06","Lantan",367952
"2020-07","Lantan",465176
"2020-08","Lantan",295003
"2020-09","Lantan",338633
"2020-10","Lantan",393862
"2020-11","Lantan",220930
"2020-12","Lantan",301242
"2021-01","Lantan",252773
"2021-02","Lantan",211713
"2021-03","Lantan",321865
"2021-04","Lantan",363308
"2021-05","Lantan",442266
"2021-06","Lantan",258094
"2021-07","Lantan",386549
"2021-08","Lantan",341173
"2021-09","Lantan",338514
"2021-10","Lantan",273428
"2021-11","Lantan",339823
"2021-12","Lantan",471860
"2022-01","Lantan",304341
"2022-02","Lantan",322884
"2022-03","Lantan",398674
"2022-04","Lantan",406209
"2022-05","Lantan",326167
"2022-06","Lantan",336151
"2022-07","Lantan",236702
"2022-08","Lantan",284864
"2022-09","Lantan",275005
"2022-10","Lantan",380118
"2022-11","Lantan",317793
"2022-12","Lantan",363072
"2023-01","Lantan",384713
"2023-02","Lantan",329417
"2023-03","Lantan",222802
"2023-04","Lantan",476886
"2023-05","Lantan",352172
"2023-06","Lantan",404001
"2023-07","Lantan",335551
"2023-08","Lantan",404884
"2023-09","Lantan",328606
"2023-10","Lantan",255928
"2023-11","Lantan",388860
"2023-12","Lantan",236579
"2019-01","Lapaliiya & Thindol",844226
"2019-02","Lapaliiya & Thindol",1107529
"2019-03","Lapaliiya & Thindol",1055311
"2019-04","Lapaliiya & Thindol",1164583
"2019-05","Lapaliiya & Thindol",979240
"2019-06","Lapaliiya & Thindol",1163660
"2019-07","Lapaliiya & Thindol",860728
"2019-08","Lapaliiya & Thindol",992036
"2019-09","Lapaliiya & Thindol",917520
"2019-10","Lapaliiya & Thindol",1023279
"2019-11","Lapaliiya & Thindol",738027
"2019-12","Lapaliiya & Thindol",981768
"2020-01","Lapaliiya & Thindol",759372
"2020-02","Lapaliiya & Thindol",922349
"2020-03","Lapaliiya & Thindol",913209
"2020-04","Lapaliiya & Thindol",1274310
"2020-05","Lapaliiya & Thindol",1221828
"2020-06","Lapaliiya & Thindol",1387848
"2020-07","Lapaliiya & Thindol",1386115
"2020-08","Lapaliiya & Thindol",1048325
"2020-09","Lapaliiya & Thindol",1410203
"2020-10","Lapaliiya & Thindol",1380407
"2020-11","Lapaliiya & Thindol",984201
"2020-12","Lapaliiya & Thindol",1289373
"2021-01","Lapaliiya & Thindol",1294205
"2021-02","Lapaliiya & Thindol",1010813
"2021-03","Lapaliiya & Thindol",1563004
"2021-04","Lapaliiya & Thindol",1256772
"2021-05","Lapaliiya & Thindol",1294086
"2021-06","Lapaliiya & Thindol",1048530
"2021-07","Lapaliiya & Thindol",1256524
"2021-08","Lapaliiya & Thindol",1335507
"2021-09","Lapaliiya & Thindol",1153519
"2021-10","Lapaliiya & Thindol",1048889
"2021-11","Lapaliiya & Thindol",1089927
"2021-12","Lapaliiya & Thindol",1219474
"2022-01","Lapaliiya & Thindol",1190021
"2022-02","Lapaliiya & Thindol",1129655
"2022-03","Lapaliiya & Thindol",1134748
"2022-04","Lapaliiya & Thindol",1263007
"2022-05","Lapaliiya & Thindol",1285570
"2022-06","Lapaliiya & Thindol",1262766
"2022-07","Lapaliiya & Thindol",1202739
"2022-08","Lapaliiya & Thindol",1141263
"2022-09","Lapaliiya & Thindol",1087336
"2022-10","Lapaliiya & Thindol",1113985
"2022-11","Lapaliiya & Thindol",1038405
"2022-12","Lapaliiya & Thindol",1167251
"2023-01","Lapaliiya & Thindol",935271
"2023-02","Lapaliiya & Thindol",811793
"2023-03","Lapaliiya & Thindol",983878
"2023-04","Lapaliiya & Thindol",901393
"2023-05","Lapaliiya & Thindol",972532
"2023-06","Lapaliiya & Thindol",908272
"2023-07","Lapaliiya & Thindol",838306
"2023-08","Lapaliiya & Thindol",1171380
"2023-09","Lapaliiya & Thindol",951150
"2023-10","Lapaliiya & Thindol",1259763
"2023-11","Lapaliiya & Thindol",858262
"2023-12","Lapaliiya & Thindol",1065035
"2019-01","Luiren",940842
"2019-02","Luiren",619216
"2019-03","Luiren",835561
"2019-04","Luiren",727242
"2019-05","Luiren",985848
"2019-06","Luiren",741050
"2019-07","Luiren",950443
"2019-08","Luiren",669313
"2019-09","Luiren",939144
"2019-10","Luiren",866935
"2019-11","Luiren",710924
"2019-12","Luiren",810212
"2020-01","Luiren",756361
"2020-02","Luiren",778854
"2020-03","Luiren",775182
"2020-04","Luiren",724657
"2020-05","Luiren",689477
"2020-06","Luiren",869133
"2020-07","Luiren",731830
"2020-08","Luiren",896972
"2020-09","Luiren",792897
"2020-10","Luiren",583045
"2020-11","Luiren",847394
"2020-12","Luiren",633502
"2021-01","Luiren",538466
"2021-02","Luiren",768099
"2021-03","Luiren",935336
"2021-04","Luiren",800594
"2021-05","Luiren",787104
"2021-06","Luiren",684367
"2021-07","Luiren",904485
"2021-08","Luiren",933515
"2021-09","Luiren",660266
"2021-10","Luiren",812398
"2021-11","Luiren",615077
"2021-12","Luiren",658310
"2022-01","Luiren",734422
"2022-02","Luiren",766211
"2022-03","Luiren",722733
"2022-04","Luiren",706131
"2022-05","Luiren",661995
"2022-06","Luiren",773573
"2022-07","Luiren",609442
"2022-08","Luiren",575592
"2022-09","Luiren",770859
"2022-10","Luiren",624159
"2022-11","Luiren",614030
"2022-12","Luiren",837336
"2023-01","Luiren",742878
"2023-02","Luiren",525002
"2023-03","Luiren",830578
"2023-04","Luiren",912784
"2023-05","Luiren",798372
"2023-06","Luiren",800515
"2023-07","Luiren",725274
"2023-08","Luiren",738831
"2023-09","Luiren",1000955
"2023-10","Luiren",641299
"2023-11","Luiren",705782
"2023-12","Luiren",846578
"2019-01","Luskan",647136
"2019-02","Luskan",608921
"2019-03","Luskan",702063
"2019-04","Luskan",731027
"2019-05","Luskan",769774
"2019-06","Luskan",643289
"2019-07","Luskan",793547
"2019-08","Luskan",604865
"2019-09","Luskan",699473
"2019-10","Luskan",771551
"2019-11","Luskan",599538
"2019-12","Luskan",645314
"2020-01","Luskan",715924
"2020-02","Luskan",784989
"2020-03","Luskan",813655
"2020-04","Luskan",566387
"2020-05","Luskan",700506
"2020-06","Luskan",628147
"2020-07","Luskan",735296
"2020-08","Luskan",722024
"2020-09","Luskan",790153
"2020-10","Luskan",619362
"2020-11","Luskan",906637
"2020-12","Luskan",775202
"2021-01","Luskan",773752
"2021-02","Luskan",630641
"2021-03","Luskan",829035
"2021-04","Luskan",677148
"2021-05","Luskan",603497
"2021-06","Luskan",641158
"2021-07","Luskan",948549
"2021-08","Luskan",739309
"2021-09","Luskan",568293
"2021-10","Luskan",798950
"2021-11","Luskan",628820
"2021-12","Luskan",685851
"2022-01","Luskan",722318
"2022-02","Luskan",595641
"2022-03","Luskan",843522
"2022-04","Luskan",700631
"2022-05","Luskan",848816
"2022-06","Luskan",619184
"2022-07","Luskan",680630
"2022-08","Luskan",671509
"2022-09","Luskan",579327
"2022-10","Luskan",785790
"2022-11","Luskan",666771
"2022-12","Luskan",493120
"2023-01","Luskan",740167
"2023-02","Luskan",707565
"2023-03","Luskan",731498
"2023-04","Luskan",723164
"2023-05","Luskan",683429
"2023-06","Luskan",661961
"2023-07","Luskan",666187
"2023-08","Luskan",689622
"2023-09","Luskan",635472
"2023-10","Luskan",648606
"2023-11","Luskan",754541
"2023-12","Luskan",807162
"2019-01","Mantol Dereith",33828
"2019-02","Mantol Dereith",13349
"2019-03","Mantol Dereith",18616
"2019-04","Mantol Dereith",49380
"2019-05","Mantol Dereith",4364
"2019-06","Mantol Dereith",4861
"2019-07","Mantol Dereith",12650
"2019-08","Mantol Dereith",972
"2019-09","Mantol Dereith",55618
"2019-10","Mantol Dereith",57094
"2019-11","Mantol Dereith",53158
"2019-12","Mantol Dereith",46433
"2020-01","Mantol Dereith",28753
"2020-02","Mantol Dereith",46334
"2020-03","Mantol Dereith",69833
"2020-04","Mantol Dereith",16424
"2020-05","Mantol Dereith",25032
"2020-06","Mantol Dereith",18164
"2020-07","Mantol Dereith",32805
